

basicmath_small 0
CPI,-1.51184
DataHazards,596207040.0
ControlHazards,151639479.0
Stalls,1561250719.0
DataStalls,983121262.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 2
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,4278
Data L2 Total Read,34321
Data L2 Write,3570
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13405
Cycles,-1497138311.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.1018
DataHazards,472806793.0
ControlHazards,53477346.0
Stalls,1439015662.0
DataStalls,1048417912.0
ControlStalls,267386730.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 3
Data L1 Read,273554
Data L1 Total Read,1.74796e+08
Data L1 Write,78014
Data L1 Total Write,1.557e+08
Data L2 Read,3138
Data L2 Total Read,273554
Data L2 Write,6814
Data L2 Total Write,86741
Instruction L1,3.01808e+07
Instruction L1 Total,1.35881e+09
Instruction L2,1.44089e+07
Instruction L2 Total,3.01808e+07
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 4
Data L1 Read,257036
Data L1 Total Read,1.74796e+08
Data L1 Write,56150
Data L1 Total Write,1.557e+08
Data L2 Read,3742
Data L2 Total Read,257036
Data L2 Write,6582
Data L2 Total Write,65699
Instruction L1,9.28139e+06
Instruction L1 Total,1.35881e+09
Instruction L2,3.53848e+06
Instruction L2 Total,9.28139e+06
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 5
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,4678
Data L2 Total Read,34321
Data L2 Write,3587
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13405
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 6
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,4259
Data L2 Total Read,34321
Data L2 Write,3535
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13405
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 7
Data L1 Read,31471
Data L1 Total Read,1.74796e+08
Data L1 Write,37731
Data L1 Total Write,1.557e+08
Data L2 Read,238
Data L2 Total Read,31471
Data L2 Write,2806
Data L2 Total Write,13373
Instruction L1,13377
Instruction L1 Total,1.35881e+09
Instruction L2,4183
Instruction L2 Total,13377
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 8
Data L1 Read,34321
Data L1 Total Read,1.74796e+08
Data L1 Write,41406
Data L1 Total Write,1.557e+08
Data L2 Read,8570
Data L2 Total Read,34321
Data L2 Write,5275
Data L2 Total Write,12000
Instruction L1,13405
Instruction L1 Total,1.35881e+09
Instruction L2,6721
Instruction L2 Total,13405
Cycles,-1853775379.0
Instructions,1358813317.0
InstructionsR,537154054.0
InstructionsI,760053753.0
InstructionsJ,61605510.0
CPI,-1.36426
DataHazards,348327097.0
ControlHazards,151639479.0
Stalls,1082378596.0
DataStalls,504249139.0
ControlStalls,454918437.0
JumpStalls,123211020.0
Branches,151639479.0
CorrectBranches,0.0
IncorrectBranches,0.0


fft_inv_small 9
Data L1 Read,33923
Data L1 Total Read,1.74796e+08
Data L1 Write,52967
Data L1 Total Write,1.557e+08
Data L2 Read,4367
Data L2 Total Read,33923
Data L2 Write,3502
Data L2 Total Write,12929
Instruction L1,566368
Instruction L1 Total,1.35881e+09
Instruction L2,374368
Instruction L2 Total,566368
Cycles,-1853775379.0
